"","ID","Title"," "
"","44","dashboard_access","View                                                                                                                                                                                    Edit"
"","43","audit_log_access","View                                                                                                                                                                                    Edit"
"","42","audit_log_show","View                                                                                                                                                                                    Edit"
"","41","comment_access","View                                                                                                                                                                                    Edit"
"","40","comment_delete","View                                                                                                                                                                                    Edit"
"","39","comment_show","View                                                                                                                                                                                    Edit"
"","38","comment_edit","View                                                                                                                                                                                    Edit"
"","37","comment_create","View                                                                                                                                                                                    Edit"
"","36","ticket_access","View                                                                                                                                                                                    Edit"
"","35","ticket_delete","View                                                                                                                                                                                    Edit"
"","34","ticket_show","View                                                                                                                                                                                    Edit"
"","33","ticket_edit","View                                                                                                                                                                                    Edit"
"","32","ticket_create","View                                                                                                                                                                                    Edit"
"","31","category_access","View                                                                                                                                                                                    Edit"
"","30","category_delete","View                                                                                                                                                                                    Edit"
"","29","category_show","View                                                                                                                                                                                    Edit"
"","28","category_edit","View                                                                                                                                                                                    Edit"
"","27","category_create","View                                                                                                                                                                                    Edit"
"","26","priority_access","View                                                                                                                                                                                    Edit"
"","25","priority_delete","View                                                                                                                                                                                    Edit"
"","24","priority_show","View                                                                                                                                                                                    Edit"
"","23","priority_edit","View                                                                                                                                                                                    Edit"
"","22","priority_create","View                                                                                                                                                                                    Edit"
"","21","status_access","View                                                                                                                                                                                    Edit"
"","20","status_delete","View                                                                                                                                                                                    Edit"
"","19","status_show","View                                                                                                                                                                                    Edit"
"","18","status_edit","View                                                                                                                                                                                    Edit"
"","17","status_create","View                                                                                                                                                                                    Edit"
"","16","user_access","View                                                                                                                                                                                    Edit"
"","15","user_delete","View                                                                                                                                                                                    Edit"
"","14","user_show","View                                                                                                                                                                                    Edit"
"","13","user_edit","View                                                                                                                                                                                    Edit"
"","12","user_create","View                                                                                                                                                                                    Edit"
"","11","role_access","View                                                                                                                                                                                    Edit"
"","10","role_delete","View                                                                                                                                                                                    Edit"
"","9","role_show","View                                                                                                                                                                                    Edit"
"","8","role_edit","View                                                                                                                                                                                    Edit"
"","7","role_create","View                                                                                                                                                                                    Edit"
"","6","permission_access","View                                                                                                                                                                                    Edit"
"","5","permission_delete","View                                                                                                                                                                                    Edit"
"","4","permission_show","View                                                                                                                                                                                    Edit"
"","3","permission_edit","View                                                                                                                                                                                    Edit"
"","2","permission_create","View                                                                                                                                                                                    Edit"
"","1","user_management_access","View                                                                                                                                                                                    Edit"
